Rk,Player,First_Name,Last_Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
265,DeAndre Jordan,DeAndre,Jordan,C,31,BRK,56,6,22,3.4,5.1,0.666,0,0,,3.4,5.1,0.666,0.666,1.5,2.2,0.68,2.5,7.5,10,1.9,0.3,0.9,1.3,2,8.3
266,Cory Joseph,Cory,Joseph,PG,28,SAC,72,26,24.4,2.4,5.7,0.415,0.8,2.2,0.352,1.6,3.5,0.455,0.483,0.8,1,0.857,0.6,2,2.6,3.5,0.7,0.3,1.1,1.8,6.4
267,Mfiondu Kabengele,Mfiondu,Kabengele,C,22,LAC,12,0,5.3,1.2,2.7,0.438,0.8,1.7,0.45,0.4,1,0.417,0.578,0.4,0.4,1,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
268,Frank Kaminsky,Frank,Kaminsky,C,26,PHO,39,13,19.9,3.5,7.9,0.45,1.1,3.2,0.331,2.5,4.7,0.53,0.516,1.6,2.3,0.678,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7
269,Enes Kanter,Enes,Kanter,C,27,BOS,58,7,16.9,3.4,6,0.572,0,0.1,0.143,3.4,5.9,0.581,0.573,1.2,1.7,0.707,2.8,4.6,7.4,1,0.4,0.7,1,1.7,8.1
270,Luke Kennard,Luke,Kennard,SG,23,DET,28,25,32.9,5.4,12.2,0.442,2.6,6.5,0.399,2.8,5.7,0.491,0.548,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
271,Stanton Kidd,Stanton,Kidd,SG,27,UTA,4,0,3.8,0,0.8,0,0,0.3,0,0,0.5,0,0,0,0,,0,0.8,0.8,0.3,0,0,0.5,0.8,0
272,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,PF,26,TOT,25,0,11.2,0.9,2.6,0.333,0.2,0.8,0.25,0.7,1.8,0.37,0.371,0.4,0.6,0.786,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4
272,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,PF,26,CHO,12,0,13.3,1.5,4.4,0.34,0.4,1.4,0.294,1.1,3,0.361,0.387,0.6,0.8,0.778,0.8,2.2,2.9,0.8,0,0.3,0.6,1.5,4
272,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,PF,26,DAL,13,0,9.3,0.3,1,0.308,0,0.2,0,0.3,0.8,0.4,0.308,0.3,0.4,0.8,0.4,2.1,2.5,0.3,0.2,0.2,0.7,1.5,0.9
